



                              STATION NAME : KURUNEGALA              
                              LAT:  7.47N    LON: 80.37E    ELEV:  116.1M
                              ELEMENT : Temp mean mly    in Degrees C           
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1885    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    26.9I    26.6     26.3     26.6     -9.9M    25.2     -9.9M
  1886    25.0I    24.5     -9.9M    -9.9M    -9.9M    27.4I    -9.9M    26.1     26.2     26.0     24.7D    23.9 
  1887    -9.9M    23.8     25.5     -9.9M    28.0     26.9     27.1     27.2     26.6I    26.6     26.9     25.4 
  1888    25.1     26.6     28.9I    28.4     28.4I    26.8     27.7     28.1     28.6     27.9     26.8     25.5 
  1889    26.3     27.4     28.7     28.8     28.5     27.8     27.1     27.2     26.8     26.6     26.2     25.9 
  1890    25.2     26.3     28.2     29.1     28.3     27.2     27.0     27.0     26.9     26.9     26.8     25.7 
  1891    25.9     27.2     28.2     28.4     27.9     26.6     27.2     27.3     27.6     27.0     26.3     26.3 
  1892    25.0     27.0     27.8     28.5     29.0     28.4     27.3     27.1     28.0     26.8I    27.4     26.5I
  1893    26.7     27.7     28.3     28.7     28.1     27.5     27.2I    27.7     28.2     27.9     27.1     26.5 
  1894    26.5     27.6     29.4I    28.8     29.3I    27.6     27.7     27.0     27.7I    -9.9M    -9.9M    25.4I
  1895    25.4     27.1     28.9     28.4     27.9     27.4     26.6I    27.3I    27.0     26.3     27.0     25.4I
  1896    25.7     26.0     28.5     29.2     28.3     26.7I    26.9I    26.5     27.1     26.9     26.6     25.9 
  1897    26.5I    27.5     28.9     28.3     28.8     27.0     26.5     26.7     26.3     26.8     26.5     25.2 
  1898    25.1     26.6     27.7     28.5     28.3     27.2     26.9     27.6     26.8I    26.4     25.8I    25.7 
  1899    24.8     26.2     27.9     27.9     27.6     26.3     26.9     27.7     27.4     27.1     26.2     25.5 
  1900    25.9I    27.6I    29.5     28.7I    28.5     27.1     26.2     26.6     26.2     26.6     26.7I    25.8 
  1903    -9.9M    -9.9M    -9.9M    -9.9M    25.9I    27.5     27.0     26.8     26.7     26.4     26.0     25.8 
  1904    25.0     25.5     27.5     29.3     28.3     26.4     26.2     27.0     26.6     26.9     26.5     25.2 
  1905    25.5     26.7     28.6     27.7     27.9     27.1     27.4     28.0I    27.2     26.8     26.9     25.8 
  1906    26.2     28.3     28.8     29.4     28.0     26.7     26.8     27.0I    27.5     26.8     26.1     25.9 
  1907    25.9     26.8     27.8     27.9     28.1     26.8     26.8     26.7     27.3     26.7     26.2     25.9I
  1908    25.5     26.7     28.3     28.5     28.0     27.9     27.5I    28.2     27.3     27.0     26.1     25.9 
  1909    25.7     26.3     27.1I    28.5     28.2     27.8     26.8     26.7     26.9     27.2     26.3     26.0I
  1910    25.9     27.1     28.3I    28.5     28.8     27.8     26.4     26.7     26.4     26.2     25.5     25.0 
  1911    25.4     26.3     28.7     28.9     29.3     26.9     26.6     27.3     27.2     26.5     26.5     25.8 
  1912    24.8     27.2     28.4     28.5     27.9     26.7     26.8     26.8     27.3     26.4     26.1     25.3 
  1913    24.5     26.1     27.9     28.4     28.0     27.8     27.5     27.4     27.9     26.9     25.9     25.6 
  1914    26.0     26.6     28.3     28.5     28.1     27.3     27.7     27.6     27.8     26.7     26.3     25.6 
  1915    25.6     26.4     28.4     29.1I    28.8     28.3     26.5     27.6     27.3     27.4     26.4     25.1 
  1916    24.6     26.6     28.3     28.5     27.7     26.5I    26.6     27.1     26.9     26.5     26.3     24.9 
  1917    24.4I    25.7     26.7     28.4I    28.0     26.8     27.2     27.1I    26.4     26.3     26.0     24.9 
  1918    24.8     24.4     27.9     28.2     27.2     26.9     27.3     27.3     27.6     27.4     26.7     25.2 
  1919    26.3     27.1     28.2     29.0     27.7     27.0     26.7     26.6     26.9     26.9     25.7     25.6 
  1920    25.5I    26.9     27.6     27.5     28.1     26.5I    26.8     26.7     27.1I    26.6     26.0     25.0 
  1921    25.6     25.2     28.1     27.9     28.3     27.6     27.3     27.1     27.4     26.8I    26.3     25.6 
  1922    25.6     26.2     28.4     28.6     27.9     27.2     26.8     27.5     27.3     27.1     25.8     25.0 
  1923    25.3     26.2     27.4     28.5     28.5     27.0     26.6     26.5     26.6     26.9     26.4     25.3 
  1924    25.7     26.6I    28.0I    28.6     28.3     26.6     26.6     26.9     26.7     26.8     26.2     25.4 
  1925    24.4     25.5     27.1     28.1     27.7     27.2     27.2     27.1     28.0     26.8     26.2     26.1 
  1926    25.3     26.3     28.9     29.2     27.9     27.4     27.1     27.5     27.1     27.1     26.1     26.0 
  1927    25.6     27.2     27.4     28.3     27.4     26.8     27.1     27.7     27.2     26.9     26.2     26.3 
  1928    25.9     26.1     27.9     27.9     28.6     27.4     27.0     26.8     27.7     26.4     26.6     26.4 
  1929    25.7     26.8I    28.1     27.7     28.2     27.1     26.9     27.3     27.3     27.0     26.5     25.3 
  1930    25.7     26.7     27.9     28.6     27.6     27.2     27.6     27.8     26.8     26.2     26.7     26.2 
  1931    25.9     27.0     29.1     28.8     28.2     27.3     26.8     26.7     26.7I    27.2     26.8     26.0 
  1932    25.4     26.1     27.5     27.9     27.6     27.4     27.2     27.2     26.7     26.3     26.1     25.3 
  1933    25.7     26.2     27.7     28.3     27.3     26.7     26.6     26.7     26.4     26.2     25.7     25.0 
  1934    25.2     25.7     26.4     27.5     28.0     27.2     27.3     27.8     28.6     27.5     26.0     25.5 
  1935    25.8     26.2     27.9     28.0I    28.1I    27.0     27.1     27.0     26.9     26.8     26.4     25.9 
  1936    25.0     27.1     27.3     28.6     27.5     26.9     27.0     27.2     27.2     26.7     26.6     25.4 
  1937    25.6     27.0     27.7     28.0I    28.0     27.4     26.9     27.5     27.3     27.0     25.7     25.3 
  1938    25.8     26.5     27.4     27.7     28.1     27.6     27.6     26.9     27.2     27.0     26.4     25.9 
  1939    25.4     25.8     28.6     27.7     27.9     26.9     26.6     26.6     27.2     27.1     26.4     25.7 
  1940    25.3     27.1     29.1     28.7     27.6     27.3     27.2     26.8     27.4     26.8     26.4     26.1 
  1941    26.3     27.0     28.5     29.1     28.6     27.3     27.5     27.1     27.1     27.3     26.5     25.9 
  1942    25.9     27.5     28.3     28.3     28.4     27.3     26.8     26.8     27.1     26.7     26.1     25.7 
  1943    25.9     26.0     28.1     28.1     27.4     26.6     26.4     26.5     26.8     26.2     26.0     26.0 
  1944    25.7     26.0     27.3     28.2     28.0     27.3     27.4     27.8     27.3     27.0     26.5     26.1 
  1945    25.4     27.5     28.2     28.4     29.6     28.0     27.6     28.1     28.3     27.0     26.5     25.4 
  1946    25.0     27.1     28.1     28.4     28.5     27.6     27.3     27.3     27.1     27.0     26.4     26.0 
  1947    26.3     26.5     27.9     28.0     28.8     27.7     27.3     26.6     26.6     26.1     26.6     25.6 
  1948    26.4     27.2     28.7     28.6     28.6     27.7     27.2     27.2     27.9     27.5     26.9     26.1 
  1949    25.7     25.8I    29.0I    28.1     27.9     26.9     26.9     27.0     27.0     26.8     26.4     25.2 
  1950    24.9     26.7     27.8     28.0     28.4     26.9     26.9     26.7     26.7     26.0     26.2     25.4 
  1951    25.4     25.3     27.4     27.9     28.1     27.1     26.7     27.9     27.5     27.1     26.6     25.7 
  1952    25.8     27.2     27.9     28.3     28.0     27.3     27.5     27.0     27.7     26.4     25.9     26.1I
  1953    25.7     26.5     28.0     28.1     29.7     29.0     26.3     27.6     27.2     26.7     26.0     25.6 
  1954    25.9     26.5     27.2     27.9     27.9     27.6     27.1     26.9     27.4     26.4     25.7     25.5 
  1955    25.3     26.0     27.8     27.8     27.2     26.3     27.0     27.7     27.1     26.6     25.8     24.9 
  1956    25.1     25.8     28.0     28.5     28.0     26.8     27.2     27.2     27.4     26.4     26.5     25.4 
  1957    25.1     26.2     27.9     28.7     28.1     27.2     27.1     27.6     28.4     27.6     26.6     25.6 
  1958    26.2     27.3     28.2     28.3     28.2     27.5     27.9     26.8     28.3     26.8     26.7     26.0 
  1959    26.1     27.1     28.7     28.5     28.2     27.0     26.8     27.2     27.0     26.9     26.5     25.7 
  1960    26.0     25.7     27.9     28.2     27.6     27.4     26.9     28.4     27.4     27.3     25.7     25.8 
  1961    26.1     26.0     27.9     28.6     27.8     27.1     27.1     27.2     26.8     27.1     26.6     25.6 
  1962    25.2     26.6     27.3     28.4     27.9     27.7     27.2     27.6     27.0     26.5     26.1     26.0 
  1963    25.2     26.3     28.1     28.4     28.5     27.5     27.1     27.5     27.0     26.5     26.1     25.7 
  1964    25.5     26.7     27.6     25.6     28.8     27.5     26.8     27.0     27.0     26.6     26.0     25.2 
  1965    25.4     26.0     27.8     28.2     27.5     27.4     28.0     26.9     27.3     27.3     26.7     25.9 
  1966    26.4     27.8     28.4     28.2     28.6     27.7     27.8     28.2     27.5     26.9     26.8     25.9 
  1967    25.4     25.9     27.7D    28.8     28.2     27.3     27.3     27.3     27.7     26.6     26.6     25.8 
  1968    25.9     26.7     28.0     28.0     28.5     27.2     26.6     27.4     27.1     27.2     26.5I    -9.9M
  1969    25.7     27.3     29.5     29.3     28.2     27.5     27.9     27.8     27.8     27.0     26.7     26.3 
  1970    25.8     26.4     28.3     28.5     28.1     28.0     27.2     27.7     27.4I    26.6     26.6     24.9 
  1971    25.7     26.0     27.6     28.0I    28.0     26.9     27.1     27.1     27.1     26.8     26.6     25.1 
  1972    25.6     26.5     28.5     28.8     27.5     28.5     27.9     27.7     28.3     27.2     27.1     26.7 
  1973    26.4     28.5     29.4     29.4     28.6     27.8     27.8     27.0     28.1     27.5     26.7     25.6 
  1974    24.9     26.6     28.2     28.1I    28.2     27.4     27.0     27.0     26.6     26.6     26.8     26.0 
  1975    25.4     27.2     28.1     28.3     27.8     27.2     27.2     26.9     26.8     26.6     26.2     25.4 
  1976    24.8     26.5     28.8     28.0     28.7     29.0     28.1     28.2     28.6     27.4     27.0     26.3 
  1977    25.5     27.7     28.5     29.0     27.6I    27.8     27.0     28.0I    28.4     27.2     27.1     26.9 
  1978    26.8     27.7     28.6     29.1I    28.1     27.9     27.4I    27.5I    27.7I    27.5I    26.3I    26.8I
  1979    27.0     28.0     28.7     29.5     29.1     28.5     28.1     28.5     27.2     27.8     26.6     26.5I
  1980    26.1     27.6     29.4     28.8     29.1     27.7     27.5     27.5     28.0     26.7     26.8     26.2 
  1981    25.7I    27.2     29.6I    28.8     28.6     27.2     27.4     27.5     26.7     26.7     26.5I    25.8I
  1982    25.6     27.8     29.2I    29.0     28.1     27.0     27.0     27.3     28.1     26.8     26.4I    25.3I
  1983    26.1     28.7     30.4     31.0     29.2     28.5     27.8     27.6     27.0     27.7     26.5     26.3 
