



                              STATION NAME : MAHA ILLUPPALLAMA       
                              LAT:  8.12N    LON: 80.47E    ELEV:  117.2M
                              ELEMENT : Temp mean mly    in Degrees C           
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1952    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    25.5     25.1 
  1953    24.6     25.5     28.3     28.0I    30.1     29.9     27.6     28.5     27.9     27.0     25.5     24.9 
  1954    24.9     26.0     26.9     27.7     28.0     28.5     27.5     28.2     28.9     27.0     25.1     25.0 
  1955    24.7     25.2     27.5     27.9     27.4     27.2     28.2     28.2     27.7     27.2     25.8     24.2 
  1956    24.4     25.1     27.8     28.8     29.0     27.8     28.2     28.5     28.5     27.1     26.0     24.6 
  1957    24.1     25.2     27.1     28.8     28.2     27.7     28.3     28.7     29.3     27.9     26.3     24.9 
  1958    25.3     26.1     27.4     28.2     28.1I    28.0I    28.6I    27.7     29.3     27.4     25.9     25.0 
  1959    25.2     26.2I    27.7     28.0     28.0     27.4     28.0     28.7     28.6     27.6     25.6     25.1 
  1960    25.1     24.8     26.9     28.0     27.5     28.4I    27.5     28.0     28.1     27.7     25.7     25.3 
  1961    25.4     25.0     27.3     28.8     27.9     27.6     27.4     28.6     28.3     28.2     26.0     24.7 
  1962    24.3     26.0     27.4     28.2     28.1     28.3     28.3     28.5     27.8     26.6     25.2     24.8 
  1963    24.0I    25.0     26.4     27.7     28.3     28.1     28.1     29.0     28.5     26.7     25.3     24.7 
  1964    24.6     25.9     27.1     28.6     28.7     28.6     28.3     27.7     27.3     26.8     25.1     24.0 
  1965    24.0     25.3     27.1     27.6     27.5     28.0     28.4     27.4     28.8     27.5     26.1     25.5 
  1966    25.8     26.9     27.9     28.3     28.9     28.8     28.9     29.2     28.6     26.6     26.4     25.4 
  1967    24.9     25.2     27.5     28.6     28.6     28.6     28.6     29.1     29.0     27.6     26.0     25.3 
  1968    25.0     26.0     27.9     28.2     29.3     28.3     28.0     29.0     28.6     27.8     26.2I    -9.9M
  1969    24.9     26.1     28.7     28.9     28.9     29.0     28.9     29.4     28.8     27.0     26.4     25.1 
  1970    25.3     26.2     27.7     28.7     28.5     28.8     28.4I    28.8     28.4     27.0     26.2     24.0 
  1971    24.9     25.5     27.3     28.1     28.2     27.6     27.9     27.9     27.6     27.0     25.7     24.2 
  1972    25.2     25.5     27.3     28.8     27.5     29.1     28.9     28.9     28.9     27.0     26.6     26.4 
  1973    25.4     27.4     28.7I    29.3     29.3     29.0     28.7     28.1     28.8     27.8     26.1     24.8 
  1974    23.7     25.8     27.6     28.3     27.9I    28.3     28.4     28.6     27.8     27.6     26.7     24.9 
  1975    24.3     26.4     27.4     28.4     28.5     27.9     28.1     28.1I    27.6     27.3     25.7     24.2 
  1976    24.1     25.6     27.8     28.2     28.7     29.4     29.1     29.0     29.6     27.5     26.6     25.4 
  1977    24.2     26.0     27.8     28.7     28.0I    28.7     28.2     28.0     29.0     27.1     26.7     25.6 
  1978    25.1     26.8     28.0     29.3     28.4     28.6     27.7     27.7     28.5     28.3     26.1     26.1 
  1979    26.1     27.3     28.1     29.6     29.5     29.5     29.1     29.1     28.0     27.8     26.5     26.0 
  1980    25.1     26.3     28.7     28.7     29.6     28.8     29.2     29.3     29.3     27.3     26.6     25.7 
  1981    24.9     25.9     28.9     28.8     28.8     28.2     28.4     28.4     27.6     27.5     26.5     25.1 
  1982    25.1     26.2     28.6     29.3     28.5     28.1     28.8     29.3     29.5     27.7     26.4     25.1 
