



                              STATION NAME : MULLAITIVU              
                              LAT:  9.25N    LON: 80.82E    ELEV:   13.0M
                              ELEMENT : Temp mean mly    in Degrees C           
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1957    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    26.6I    26.4 
  1958    26.7     26.5     27.8I    29.1     29.9I    30.8     30.4     29.2     29.9     27.7     26.8     26.8 
  1959    26.5     26.9     26.9     29.1     29.8     29.5     30.2     29.7     29.4     27.9     26.6     26.2 
  1960    26.3     26.4     26.9     28.1     28.8     29.9     28.4     29.7     29.7     28.4     25.9     26.5 
  1961    26.0     26.3     27.1     29.0     29.6     29.8     29.8     30.0     29.2     27.9     26.9     26.1 
  1962    25.5     26.3     27.1     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1980    -9.9M    -9.9M    27.4     29.4     31.0     30.7     30.9     30.7     30.2I    27.4I    27.1     26.5 
  1981    25.9     26.4     28.6     29.4     30.3     30.9     29.8     30.1     28.6     28.1     27.3     26.2 
  1982    26.7     26.6     27.5     29.3     30.0     31.0     29.5I    30.7     30.1     27.6     27.0     27.0 
  1983    26.7     26.4     27.5     29.2     31.2     31.8     30.6     30.5     30.0     29.0     27.1     26.1 
  1984    25.8     26.2     27.0     28.5     30.3     30.4     28.6     29.2     28.3     28.6     26.9     26.2 
  1985    26.6     26.8     27.8     29.9     30.3     30.3     29.4     29.4     29.0     28.4     26.5     26.4 
  1986    26.1I    26.7I    27.4     28.7     31.1     31.0     30.5     30.0     30.3     28.2     27.0     27.1 
  1987    27.1     26.8I    28.3     30.2     30.1     31.9     31.6     31.4     30.5     28.0     -9.9M    -9.9M
  1988    -9.9M    27.0     28.6I    28.8     31.4     31.0     29.5I    29.2     29.2I    28.7     26.6I    26.8 
  1989    26.9     26.2I    27.4I    29.2     31.5I    30.9     29.4I    30.0     29.8     28.5I    27.1I    26.8 
  1990    26.3     27.6     28.3     29.8     30.3     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
 
 
 
 
