



                              STATION NAME : NUWARA ELIYA            
                              LAT:  6.97N    LON: 80.77E    ELEV: 1893.6M
                              ELEMENT : Temp mean mly    in Degrees C           
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1869    -9.9M    16.1I    16.0I    16.2I    17.8     17.8     -9.9M    16.2I    15.0I    -9.9M    -9.9M    -9.9M
  1870    14.5     15.0I    15.7     15.9     16.8     15.8     14.5I    14.7I    14.4I    15.2I    14.8     13.9 
  1871    14.1I    14.4I    14.8     15.9     16.4     14.8     14.6I    15.5     15.5I    15.3     15.6     14.5 
  1872    14.3     13.8     15.0     15.7     16.3     15.7     15.3     14.9     14.9I    14.8     15.0     14.7 
  1873    14.0     14.2     14.7     15.2     -9.9M    14.8     14.3I    14.6     15.0     14.9     14.9     14.6 
  1874    15.2     -9.9M    -9.9M    -9.9M    15.4     14.9     14.4     14.9     14.7     14.7     15.0     13.8 
  1875    13.0     12.3     13.9     15.1I    15.7     15.3     13.0     13.6     14.3     14.6     14.3     13.0 
  1876    13.1     13.1I    13.6     15.2     16.1     15.5     14.7     15.4     14.7     14.9     13.8     13.3 
  1877    12.6I    12.8     13.6     14.5     15.8     15.0     15.5     15.1     15.2     15.0     14.7     15.2 
  1880    12.9     13.8     14.5     15.6     -9.9M    14.7     13.7     14.4     14.2     14.9     14.6     13.3 
  1881    13.3     13.4     14.8     15.7     16.4     15.7     15.3     15.1     15.9     15.4     14.5     15.3I
  1882    14.1     14.0     15.0     15.4     16.2     14.9     13.6     14.3     14.2     14.6     14.6     14.4 
  1883    13.8     13.6     14.1     15.4     16.5     15.0     14.9     14.7     14.8     14.5     14.7     13.7 
  1884    13.2     13.3     14.4     15.0     15.9     15.5     14.7     14.7     14.5     14.9     14.5     12.7 
  1885    14.2     13.8     14.4     14.9     16.0     15.0I    14.6     15.0     15.5     15.1     14.9     15.0 
  1886    14.7     14.1     15.7     15.6     16.4     15.5     14.6     14.8I    14.7     14.9     14.6     13.3 
  1887    14.0     13.8     14.2     15.6     15.9     14.2     13.9     14.7     14.5     14.7     14.3     14.2 
  1888    13.2     14.5     15.2     16.1     15.9     14.6     15.1     15.7     15.8     15.9     15.8     14.8 
  1889    14.7     15.7     16.7     17.5     17.4     14.9     15.3     15.4     15.8     15.5I    14.5     14.3I
  1890    14.4I    15.3I    16.1     16.8     16.7     15.6     14.2     14.7I    14.6     14.9     14.4     14.1I
  1891    14.1     14.6     16.1     16.3     16.5I    -9.9M    14.5     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
  1892    -9.9M    -9.9M    15.7     16.4     17.0     15.9     -9.9M    14.8I    15.0     15.0     15.7     14.3I
  1893    14.0     14.4     16.0     16.7     16.7     15.3     15.0     14.8     15.0     15.7I    15.3     14.3 
  1894    14.5     15.0     16.2     16.5     16.7     15.6     15.1     15.0     15.2     -9.9M    -9.9M    13.6 
  1895    13.6     13.2     14.6     15.6     16.7     15.7     14.7     15.3     15.5I    15.3     15.1     14.3 
  1896    14.2     13.9     14.7     15.9     17.0     15.5     15.0     15.0     15.8     15.4     15.8     15.2I
  1897    14.6     14.6     14.9     16.0     16.9     15.5     15.6     15.3     15.6     15.6     15.2     14.8 
  1898    13.0     14.0     13.7     15.7     16.2     15.5     15.1     15.7     15.2     15.5     15.4     14.7 
  1899    13.2     12.9     13.9     15.9     15.5     15.0     15.0     15.5     15.1     15.3     14.7     14.8 
  1900    14.4I    14.1I    15.1     16.1     16.2     15.8     14.8     15.4     15.4     15.8     -9.9M    14.8 
  1901    14.6     14.2     14.8     16.0     16.5     15.4     14.9     15.3     15.8     15.0     15.2     14.0 
  1902    13.4I    14.2     14.4     15.6     17.0     16.5     14.6     15.5     15.5     15.5     15.3     14.7 
  1903    14.8     14.5     13.5     16.0     16.9     16.8     14.8I    15.7     15.6     15.7     15.2     14.2 
  1904    14.3     12.3     13.9     14.9     16.4     14.5     14.5     14.6     15.0     15.5     14.3     14.2 
  1905    13.6     14.1     15.0     15.8     16.4     -9.9M    15.3     15.9     15.7I    15.4     16.2I    14.3I
  1906    15.1     15.7     16.2     16.6     17.6I    15.8     15.2     15.1     15.5     15.4     15.1     14.8 
  1907    14.2     14.1     15.3     16.0     16.6     15.5     14.9     14.5     15.4     15.6     15.0     13.8 
  1908    14.4     14.4     15.6     16.6     16.2     15.3     14.6     15.5     15.2     15.1     14.8     14.2 
  1909    14.1     15.0     15.4     16.3     16.4     14.7     14.1     15.0     14.5     15.5     15.0     14.2 
  1910    14.4     14.8     14.9     16.0     17.1     15.2     14.9     15.7     14.6     15.2     14.7     14.7 
  1911    -9.9M    -9.9M    15.5     16.4     17.1     15.4     14.4     -9.9M    15.3I    15.5I    15.5     15.2I
  1912    14.0     15.2     16.2     17.0     17.1     14.8     14.3     14.4     14.3     -9.9M    14.9     14.4 
  1913    14.6     14.7I    15.1I    15.1I    16.3     16.5     15.6     15.7     15.6     16.1     15.9     14.5 
  1914    -9.9M    -9.9M    15.4I    15.5I    17.3     16.7     14.3     16.3I    16.0     16.3     16.2     16.0 
  1915    15.1     14.8     15.5     15.9     17.7     16.8     16.3     16.2     16.0     16.1     16.1     14.5 
  1916    12.3     13.9     15.0     16.1     17.0     16.1     16.8I    16.2     16.1I    15.7I    15.0I    -9.9M
  1917    13.3I    14.5     15.5     15.1     15.9     16.3     15.9     16.2     16.1     15.5     15.1     14.3 
  1918    14.3     12.3     14.7     14.7     16.4     15.9     15.7     15.5     15.8     15.7     15.7     14.7 
  1919    14.8     15.1     14.3     15.9     16.6     15.8     15.8     15.8     15.6     15.9     15.1     15.5 
  1920    14.1     13.0     14.8     16.0     16.1     15.8     15.1     15.2     15.8     15.7     15.8     14.5 
  1921    15.1     13.0     14.2     15.7     17.4     16.4     15.9     16.2     16.0     16.1     15.4     14.7 
  1922    14.2I    14.5     13.7     15.9     16.7     16.1     15.3     15.9     15.6     15.9     16.1     13.8 
