



                              STATION NAME : PUTTALAM                
                              LAT:  8.03N    LON: 79.83E    ELEV:    2.1M
                              ELEMENT : Temp mean mly    in Degrees C           
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1869    26.2I    26.7     28.4     29.2     29.1     -9.9M    28.1I    27.9     27.8     27.3     26.3     25.8 
  1870    25.7     25.4     27.5     -9.9M    -9.9M    -9.9M    -9.9M    27.1     27.4     27.0     26.3     25.3I
  1871    25.5     25.6     27.2     27.9     28.5     28.0     27.0     27.8     27.7     27.4     26.7I    25.8 
  1872    25.5     26.2     27.8     28.1     28.8     28.3     27.8     27.7     27.2     27.5     26.5     25.9 
  1873    25.4     -9.9M    27.0I    -9.9M    28.0     -9.9M    -9.9M    27.7     27.6     27.8     26.3     26.3 
  1874    25.3     26.4     27.5I    28.9     28.3     28.3     27.5     27.9     27.6     27.4     27.0     25.3 
  1875    25.2     25.8     27.6     28.3     28.6     27.7     27.5     27.9     28.0     27.5     26.7     25.1 
  1876    25.1     25.2     28.1     29.1     28.3     28.0     27.5     27.3     27.8     27.8     26.3     25.1 
  1877    25.4     26.5     27.1     28.1     28.2     27.5     27.9I    27.8     27.3     27.1     26.6     26.3 
  1878    26.4     26.9     28.4     28.8I    28.6     27.5     27.3I    27.2     27.4I    27.7     26.9     26.7I
  1879    26.8I    26.8     27.6     28.6I    28.2     27.4I    27.5     27.4I    27.6I    26.9I    27.1     26.4 
  1880    24.9I    26.7     27.5     28.3     28.7     28.3     27.4     27.3     27.9     28.5     26.7     26.1 
  1881    25.3     25.9I    27.8     -9.9M    -9.9M    -9.9M    27.4     27.3I    27.7     28.1     27.0     25.8I
  1882    25.8     26.2     28.1     28.6     28.2     27.5     26.8     27.3     27.7I    27.4     26.9     25.1I
  1883    25.5     25.8     27.6     28.6     28.2     28.0     27.7     27.8     28.0I    27.6     25.7     -9.9M
  1884    25.1     25.5     27.8     28.9I    28.2     28.4     27.8     -9.9M    27.9I    27.5     26.7I    25.1I
  1885    -9.9M    26.2I    27.6     28.2     28.6     27.2     27.2I    27.9     27.9     26.5     26.2     26.1 
  1886    25.9I    26.8     27.7     28.0     28.2     27.6     27.4     26.4     26.7     26.8     25.9     24.5I
  1887    23.7I    24.4     25.8     26.5     26.9     26.0     26.3     26.6     26.2     25.4     25.6     24.4 
  1888    24.1     25.0     26.9I    28.8     28.5     27.9     27.9     27.9     27.9     27.3     26.4     25.2 
  1889    25.2     25.9     28.0     28.1     28.6     28.0     27.9     28.0     27.6     26.9     25.9     25.0 
  1890    24.3     25.3     27.6     27.5     27.4     26.5     26.6     26.7     26.8     26.4I    25.4     -9.9M
  1891    23.0     24.4     26.0I    26.7     27.1     26.2     26.3     26.9     27.4     25.8     25.2     25.0 
  1892    24.0     25.2     26.3     27.8     28.8I    28.3     27.3     -9.9M    -9.9M    27.2     -9.9M    -9.9M
  1896    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    26.6I    27.1     27.2     25.9I    26.0I    24.8 
  1897    24.3     25.4     27.0     27.1     28.2I    27.3     27.3     27.3     27.4     27.0     25.4     24.3 
  1898    23.6     24.5     25.2     27.6     28.0     27.8     27.4     27.2     27.3     26.3     25.0     24.3 
  1899    23.6     24.1     25.6     26.6     27.4I    27.2     26.9     26.9     26.6     26.4     25.0     24.1 
