



                              STATION NAME : RATMALANA               
                              LAT:  6.82N    LON: 79.88E    ELEV:    5.0M
                              ELEMENT : Temp mean mly    in Degrees C           
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1951    25.9     25.3     27.0     27.4     27.6     26.8     26.4     27.5     27.1     27.0     26.3     26.1 
  1952    26.0     26.5     27.1     27.6     28.1     27.2     27.1     27.7     27.8     26.6     26.2     26.3 
  1953    26.2     26.0     27.3     27.5     29.2     28.5     28.5I    28.1     27.9     27.1     27.1     26.9 
  1954    26.6     26.9     27.1     28.0     28.1     28.4     27.3     27.0     27.4     26.4     26.5     26.0 
  1955    26.6     26.6     27.2     27.7     27.6     27.0     27.2     27.9     26.8     27.3     26.5     26.2 
  1956    26.2     26.0     27.3     28.1     27.9     27.4     27.3     27.0     27.3     26.4     26.6     26.5 
  1957    26.3     26.5     27.3     28.1     28.0     28.1     27.9     27.9     27.9     27.2     26.6     26.3 
  1958    27.0     26.8     27.7     28.1     28.1     27.8     28.2     27.4     27.6     27.2     26.5     26.8 
  1959    26.8     26.7     27.6     28.1I    28.2     27.3     27.5     27.5     27.2     27.2     26.9     26.7 
  1960    -9.9M    26.6     27.5     28.0     28.0     28.3     27.3     27.7     27.3     26.9     26.3     26.9 
  1961    26.9     26.3     27.6     28.0     28.0     27.8     27.1     27.4     26.7     26.8     26.7     26.6 
  1962    26.4     26.9     27.2     27.9     27.9     28.3     28.0     27.4     27.3     27.1     26.9     26.9 
  1963    26.6     26.6     27.4     28.0     28.2     27.8     27.0     28.3     27.5     26.5     26.8     26.8 
  1964    26.8     27.2     27.6     28.4     28.8     27.9     27.1     27.3     27.5     27.0     26.7     26.1 
  1965    26.3     26.4     27.0     27.5     27.6     28.1     27.7     27.4     27.3     26.8     26.9     26.3 
  1966    26.4     27.1     27.6     27.5     28.6     27.3     27.6     28.1     27.0     26.7     26.5     26.3 
  1967    26.1     26.2     27.2     28.0     27.8     27.4     27.1     27.6     26.7     26.5     26.6     26.5 
  1968    26.1     26.1     27.4     27.7     28.5     27.6     26.8     27.6     27.1     27.0     26.4     26.4 
  1969    26.3     26.6     27.8     28.4     28.0     28.2     27.6     27.2     28.0     26.8     26.8     26.4 
