



                              STATION NAME : RATNAPURA               
                              LAT:  6.68N    LON: 80.40E    ELEV:   34.4M
                              ELEMENT : Temp mean mly    in Degrees C           
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1869    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    27.0     26.7     26.3     26.6I
  1870    26.0     27.3     27.5     28.1     27.6     27.2     27.2     26.9     26.5     26.1     26.6     26.3 
  1871    26.2I    27.0     27.1     27.6     27.7     27.2     26.4     27.4     26.9     27.3     27.0     26.8 
  1872    26.7     27.5     28.4     27.8     28.7     27.7     27.8     27.7I    27.5I    27.6I    26.7     26.7 
  1873    27.2     27.3I    28.4     28.3     28.4     27.6     27.5     27.5     27.2     27.3I    27.3I    27.2I
  1874    27.1     27.7I    27.6I    27.8I    27.0I    -9.9M    26.0I    26.4I    25.9I    25.9I    26.1I    25.6I
  1875    25.7     26.9I    26.6     27.3     27.5I    26.4     26.8     26.4I    26.1I    26.1I    26.1I    -9.9M
  1876    26.0I    27.5I    28.2I    28.4I    27.2I    26.7     26.5     26.6     26.9I    -9.9M    26.3     26.0I
  1877    27.1I    26.9     27.2I    27.4     26.7I    26.1     27.0     26.3     26.1     25.7     25.4     25.8 
  1878    25.8     26.9     27.6     27.7I    27.0     25.6     26.5     26.0     25.8     25.6I    25.7I    26.1 
  1879    25.6     26.5     27.2     27.9     27.6     26.5     26.2     26.7     26.2     26.0     25.9     25.7 
  1880    25.5I    26.9     26.4     27.8I    27.1     27.4I    -9.9M    26.2I    26.7     26.6     25.8     -9.9M
  1881    25.6     27.0     27.8     27.8     28.0     26.8     27.0     26.3I    26.3     26.7     26.0I    25.8I
  1882    26.0     26.0I    27.6I    28.0     27.5     26.5     26.0     -9.9M    26.5     25.7     26.0     25.4 
  1883    25.4     25.9     27.1     27.4     27.6     26.6     26.5     26.7     26.3     26.0     25.7     25.2 
  1884    25.9     26.9     27.2     27.5     27.1     27.0     26.9     26.6     26.5I    26.2     26.1     25.3 
  1885    25.8     26.8     27.8     28.0     27.9     26.6     26.2     26.8     26.6     26.0     26.5I    26.3 
  1886    26.4     26.6     28.0     27.7     27.2     26.5     26.3I    25.5     25.9     25.9     26.0     -9.9M
  1887    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    25.7I    26.5     25.1 
  1888    26.2     26.7     27.8     27.3     27.0     26.2     26.9     26.3     26.3     26.2     25.1I    25.1I
  1889    26.7     27.3I    28.3     28.2     27.4     26.5     26.1     26.3I    26.0     25.9     26.2     25.7I
  1890    25.3     25.8     27.2     27.2     26.7I    25.7     25.1     25.0I    25.2     25.4I    25.4     24.5 
  1891    23.4     23.6     24.9     27.3     27.0I    25.4     -9.9M    26.0     25.7     27.8     27.2     27.1I
  1892    26.6     27.4     28.1     28.4     28.8     27.9     27.7     26.8     27.3I    26.2I    26.5     26.5I
  1893    26.2I    26.9I    27.5I    27.5     27.1     26.6     26.4     26.6     26.4     26.5     26.5I    26.9I
