



                              STATION NAME : TRINCOMALEE             
                              LAT:  8.58N    LON: 81.25E    ELEV:   23.9M
                              ELEMENT : Temp mean mly    in Degrees C           
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1869    26.0     26.7     -9.9M    -9.9M    -9.9M    30.2     29.4     28.4     28.3     28.3     25.9     26.1 
  1870    25.3     26.0     27.8     29.2I    30.1     29.1     28.3     -9.9M    -9.9M    26.8     26.5     26.4 
  1871    25.7     26.6     27.6     29.3     29.8     29.7     29.3     29.6     29.0     28.1     26.0     25.9I
  1872    25.9     26.3     27.9     29.1     30.4     29.6I    29.5     29.0     28.0     28.0     26.5     26.2 
  1873    26.0I    26.0     27.2     28.2     28.9     29.5     29.7     28.2     29.1     27.6     26.0     25.9 
  1874    25.9     26.5     27.2     28.8     29.0     29.1     28.8     29.0     28.0     27.7     26.4     25.3 
  1875    25.5     26.7     27.9     29.0     29.6     28.9     29.2     29.2     29.4     27.3     26.4     25.6 
  1876    25.6     26.3     28.0     29.6     29.5     29.8     30.0     28.5     28.8     27.9     26.4     25.6 
  1877    26.2     27.0     27.1     28.2     28.1     28.2I    29.0     28.9     26.8     -9.9M    -9.9M    -9.9M
  1879    -9.9M    -9.9M    27.2     29.4     29.0     29.4     28.5     28.0     27.7     26.8     26.3     25.6 
  1880    24.6     26.0     27.3     28.6     29.9     29.7     29.6     28.7     28.8     28.0     26.4     26.0 
  1881    25.6     26.6     27.8     29.9     30.5     30.1     29.7     29.1     29.0     28.5     26.3     26.0I
  1882    26.4     26.9     28.5     29.5     30.0     29.2     28.8     28.3     28.9     27.8     26.7     25.6 
  1883    25.8     26.3     27.7     29.4     29.1     28.6     28.7     28.6     29.0     27.5     25.7     25.3 
  1884    25.5I    26.4     27.8     29.2     29.6I    29.9     30.1     29.8     29.0     27.2     26.1     25.4 
  1885    25.9     27.0     27.6     28.8     29.9     27.7I    28.2I    -9.9M    -9.9M    27.0I    26.7I    26.6 
  1886    26.2     27.2     28.9     29.9     30.4     30.3     29.4I    28.7I    29.0     29.2     26.9     25.8 
  1887    26.2     26.6     28.0     29.3     30.9     30.3     30.3     30.0     29.8     28.0     26.9     25.9 
  1888    26.7     27.6     29.1     30.6     29.9     30.1     30.9     30.6     30.1     29.2     27.4     26.2 
  1889    26.6     27.9     29.5     30.5     31.3     31.2     30.8     30.4     28.9     28.7     27.5     26.5 
  1890    26.3     27.0     30.2     30.8     31.6     30.5     30.5     30.0     29.7     29.0     27.4     26.7 
  1891    27.0     27.0     28.5     30.0     30.7     30.1     30.7     31.1     31.1     27.7     27.5     26.8 
  1892    26.4     27.4     29.0     30.1     31.3     31.1     29.7     29.2     29.9     28.3     27.5     26.6 
  1893    26.7     27.7     27.9     29.7     29.9     30.2     29.2     30.6     30.2     28.7     27.0     26.5 
  1894    26.4     28.0     29.5     30.5     31.1     30.6     30.0     29.5     29.4     28.7     27.6     -9.9M
  1895    26.7I    27.1     27.8     28.8     30.3     30.2     29.3     29.1     29.1     27.6     27.0     25.8 
  1896    25.8     26.6     27.8     30.0     30.0I    29.7     29.3     29.2     29.2     27.9     27.0     26.1 
  1897    26.5     27.1     28.5     29.2     30.3     29.4     29.3     29.2     28.1     28.4     26.9     25.2 
  1898    25.5     26.6     27.6     29.4     30.1     29.8     29.6     29.4     29.0     27.9     26.3     25.8 
  1899    25.6     26.0     27.1     28.5     29.6     29.1     29.5     29.5     29.1     28.0     26.6     25.7 
