



                              STATION NAME : VAVUNIYA                
                              LAT:  8.75N    LON: 80.50E    ELEV:   97.5M
                              ELEMENT : Temp mean mly    in Degrees C           
                              Missing data values are coded as -9.9M 
 
  YEAR     JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP      OCT      NOV      DEC
 
  1957    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    26.2I    25.1 
  1958    25.5     26.4     27.8     29.0     28.8     29.1     29.2     27.8     29.2     27.3     25.9     25.0 
  1959    24.7     25.8     27.5     29.0     28.8     28.1     28.5     29.3     28.9     27.7     26.0     -9.9M
  1960    25.2     24.9     26.9     28.0     27.8     28.7     27.7     28.4     28.7     28.2     25.8     25.3 
  1961    24.9     25.4     27.7     29.0I    28.9     28.4     28.6     29.3     29.1     28.4     25.8     24.6 
  1962    24.6     26.8     26.9     28.7     28.5     28.5     28.9     29.2     28.5     26.8     25.7     25.1 
  1963    24.3     25.0     26.9     28.2     29.2     28.9     28.5     28.9     29.0     27.2     25.7     25.3 
  1964    24.7     26.0     27.8     29.6     29.6     29.6     28.7     28.5     27.9     27.7     25.7     24.7 
  1965    24.4     25.4     27.1     28.2     28.3     28.9     29.3     27.8     28.2     27.2     26.2     25.3 
  1966    25.3     26.2     27.6     28.6     29.0I    29.0     29.2     28.6     27.9     26.6     26.2     25.1 
  1967    24.6     24.9     27.2     29.0     29.4     29.3     29.2     29.2     28.9     27.3     25.6     25.1 
  1968    24.8     25.1     27.1     28.3     28.9     29.1     29.0     29.6     28.6     27.7     25.8I    -9.9M
  1969    24.4     25.2     28.3     29.0     28.9     29.3     29.1     28.5     28.6     26.8     26.4     25.3 
  1970    25.1     25.8     27.5     28.8     28.7     28.9     28.7     28.6     28.1     27.0     25.9     24.0 
  1971    24.7     25.0     27.2     -9.9M    28.3     28.3     28.6     28.1     28.0     27.5I    25.6     24.2 
  1972    24.4     25.2     27.1     29.2     27.6     29.0     29.2     29.2     29.1     27.0     26.5     26.0 
  1973    24.8     26.6     28.3     29.9     29.9     29.6     29.6     27.9     28.6     27.8     26.0     24.5 
  1974    23.5     24.8     27.8     28.6     28.6     28.9     29.2     29.3     27.7     27.5     25.9     24.6 
  1975    24.1     26.0     27.3     28.8     29.1     28.9     28.5     28.4     28.2I    27.5     26.1     24.3 
  1976    23.9     24.8     27.4     28.6     29.3     30.1     30.0     29.8     30.0     27.8     26.5     25.3 
  1977    24.1     25.6     27.4     29.2     28.1     28.9     29.0     29.0I    29.5     26.8     26.5     25.3 
  1978    24.5     26.2     27.6     29.4     29.0I    29.3     28.9     29.2     29.5     28.4     25.9     25.6I
  1979    25.3I    26.5     28.0     29.9     29.6     30.4     29.9     29.9     27.9     27.5     26.3     25.7 
  1980    24.9     26.0     28.7     29.5     30.4     29.7     30.0I    29.9     29.6     27.5     26.5     25.5 
  1981    24.7     25.5     28.6     29.4     29.3     29.1     29.0     29.1     27.8     27.6     26.2     25.1 
  1982    24.5     25.9     28.3     29.9     29.0     29.2     29.7I    30.2I    30.0     27.8     26.3     25.0I
  1983    24.9     27.4     29.4     31.0I    30.2     30.6I    30.6I    30.4I    29.7     29.0I    26.3     25.6 
  1984    25.4     25.7     27.6     28.5     29.8     29.4     27.9     29.1     28.3     27.5     26.1I    -9.9M
  1986    -9.9M    -9.9M    -9.9M    29.1I    29.0     29.2     29.3     28.7     29.1     27.6I    25.6     25.6 
  1987    24.5     24.6     27.5     28.9     28.6     29.4     29.4I    29.6     29.4     27.0     26.7     25.8 
  1988    24.9     26.2     28.9     28.2     29.1     28.9I    28.3I    27.8     27.7I    -9.9M    -9.9M    -9.9M
  1992    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    28.3     28.6I    28.0     26.2     24.8     22.6I
  1993    22.3     22.9I    24.9I    26.5     27.4     27.7     29.3     29.2     29.3     27.5I    26.4     25.4 
  1994    25.7     26.3     28.2     29.4I    30.0     29.6I    29.6     29.8I    29.3I    27.1     26.2     25.7 
  1995    25.7     26.5     28.0     29.0I    28.9     29.8     29.5I    29.3I    30.2I    28.5     26.8     25.7 
  1996    25.8     26.5     28.7     29.1     30.0     28.5I    29.2     29.5I    28.4     27.7I    26.5I    -9.9M
  1997    25.0     25.9I    29.0     28.9I    29.0I    30.0     30.5I    30.3     29.4I    28.1     27.1     26.7I
  1998    26.1     27.8     29.1     31.0     29.9     30.0     29.5     29.1     29.5     29.4     27.4     26.0 
  1999    25.5     26.8     28.7     28.9     29.4     29.5     30.0     30.4     30.3     27.8     26.9I    25.8 
  2000    25.6     26.9     28.0     30.3     31.0     29.7     30.4     28.0I    29.6     28.0     26.9     25.9 
  2001    25.8     26.4     29.0     29.5     30.3     29.2     29.9     29.9     29.8     28.9     27.1     26.0 
  2002    26.2     26.4     28.9     29.4     30.0     30.3     30.4     30.6     30.9     28.1     27.1     26.0 
  2003    25.4     27.0     28.5     30.0     29.7     30.5     29.9     29.5     30.1     28.4I    26.4     26.7 
  2004    26.2     26.5     28.9     30.2     29.0     29.6     30.1     30.7     29.1     27.9     26.1     24.7 
  2005    24.8     26.0I    29.0     28.8     30.0I    29.9     29.4     30.0     29.5     28.3     26.0     25.5 
  2006    25.1     26.2     27.9I    29.1     29.5     30.1     30.3     -9.9M    29.3     28.3     26.6     25.6 
  2007    25.0     26.1     27.7     29.4     30.7I    29.3I    29.5     30.0I    29.6     27.9     26.6     25.8 
  2008    25.7     27.0I    27.7     28.8     29.8I    29.8     29.3I    29.1     29.3I    27.8     26.5     25.7 
  2009    25.0     25.8     28.3     29.2     30.3     30.3     -9.9M    29.4     29.4     28.7     26.8     26.1 
  2010    25.8     26.8     29.2     30.1     29.7     30.2     30.0     29.4     29.1     28.0     27.0     25.2 
  2011    25.0     25.7     28.0     -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M    -9.9M
 
 
 
 
