STN-ID,STN-NAME,DISTRICT,LAT,LON,ELEVATION (M),BEGIN-DATE,END-DATE
00000301,'MALIBODA','KEGALLE',6.88 N,80.43 E,274.4,1913-08-01,9999-12-31
0001an44,'RATHMALGAMUWA','ANURADHAPURA',6.23 N,80.30 E,250.0,2006-07-12,9999-12-31
00043400,'KANKESANTURAI','JAFFNA',9.80 N,80.07 E,16.0,1868-01-01,9999-12-31
00043404,'JAFFNA','JAFFNA',9.68 N,80.03 E,3.1,1871-01-14,9999-12-31
00043410,'MULLAITIVU','MULLAITIVU',9.25 N,80.82 E,13.0,1868-01-01,9999-12-31
00043413,'MANNAR','MANNAR',8.98 N,79.92 E,3.6,1870-05-01,9999-12-31
00043415,'VAVUNIYA','VAVUNIYA',8.75 N,80.50 E,97.5,1880-09-01,9999-12-31
00043418,'TRINCOMALEE','TRINCOMALEE',8.58 N,81.25 E,23.9,1869-01-01,9999-12-31
00043421,'ANURADHAPURA','ANURADHAPURA',8.35 N,80.38 E,92.5,1870-05-08,9999-12-31
00043422,'MAHA ILLUPPALLAMA','ANURADHAPURA',8.12 N,80.47 E,117.2,1868-01-01,9999-12-31
00043424,'PUTTALAM','PUTTALAM',8.03 N,79.83 E,2.1,1869-01-01,9999-12-31
00043436,'BATTICALOA','BATTICALOA',7.72 N,81.70 E,7.8,1869-02-01,9999-12-31
00043441,'KURUNEGALA','KURUNEGALA',7.47 N,80.37 E,116.1,1885-06-01,9999-12-31
00043444,'KATUGASTOTA','KANDY',7.33 N,80.63 E,417.1,1868-01-01,9999-12-31
00043450,'KATUNAYAKA','GAMPAHA',7.17 N,79.88 E,8.5,1868-01-01,9999-12-31
00043466,'COLOMBO','COLOMBO',6.90 N,79.87 E,7.3,1869-07-01,9999-12-31
00043467,'RATMALANA','COLOMBO',6.82 N,79.88 E,5.0,1868-01-01,9999-12-31
00043473,'NUWARA ELIYA','NUWARA ELIYA',6.97 N,80.77 E,1893.6,1869-01-10,9999-12-31
00043476,'DIYATALAWA','BADULLA',6.82 N,80.97 E,0.0,1901-01-01,1990-08-18
00043479,'BADULLA','BADULLA',6.98 N,81.05 E,669.6,1868-09-01,9999-12-31
00043486,'RATNAPURA','RATNAPURA',6.68 N,80.40 E,34.4,1869-09-01,9999-12-31
00043495,'GALLE','GALLE',6.03 N,80.22 E,12.5,1869-01-01,9999-12-31
00043497,'HAMBANTOTA','HAMBANTOTA',6.12 N,81.13 E,15.5,1869-01-01,9999-12-31
00043999,'POTTUVIL','MONARAGALA',6.88 N,81.83 E,3.6,1868-01-01,9999-12-31
00043MMM,'MONARAGALA','MONARAGALA',6.50 N,81.30 E,165.0,2009-03-01,9999-12-31
00043PPP,'POLONNARUWA','POLONNARUWA',7.87 N,81.05 E,43.0,2009-02-01,9999-12-31
00143444,"'KANDY, OLD MET'",'KANDY',11.18 N,11.18 E,16.0,1868-01-01,1953-02-28
00143476,'BANDARAWELA','BADULLA',6.82 N,80.97 E,1225.3,1990-08-20,9999-12-31
